,Unnamed: 0,date,company,position,return_1w,return_2w,return_1m,return_2m,lower_range,higher_range,stop_loss,price,stop_loss_after_2w,price_after_2w,stop_out_cover_short ,return_after_2w,same_day,one_week,two_week,one_month,two_month
134,134,10.26,CLB,short,0.057017918,0.014764411,-0.06002915,-0.167654236,100,107,111,102.25,111,107.36,,-5.00%,102.484276,96.640836,100.971156,108.63632,119.666199
135,135,10.26,ISRG,short,-0.001276867,0.021420341,0.030703513,0.053220565,660,685,694,665.18,569,641.83,,3.51%,665.719971,666.570007,651.460022,645.280029,630.289978
136,136,10.26,SOHU,short,0.07124879,0.121852968,0.128398839,0.1291541,37,42,44,39.17,39,35.04,,10.54%,39.720001,36.889999,34.880001,34.619999,34.59
137,137,10.26,TWLO,short,0.12971457,0.189347671,0.090723798,0.118501574,37,43,47,39.71,38,35.3,,11.11%,39.240002,34.150002,31.809999,35.68,34.59
138,138,10.26,WHR,short,-0.008293137,-0.075040132,-0.112402314,-0.218178676,147,154,159,149.5,,162.15,159,-8.46%,148.615303,149.84779,159.767415,165.320007,181.039993
139,139,10.26,BCC,short,0.075587334,-0.02145046,-0.123595506,-0.212972421,18,21,25,19.37,22,20.75,,-7.12%,19.58,18.1,20,22,23.75
140,140,11.3,GOOGL,long,0.020093269,0.054144983,0.03697737,0.106421104,769,790,741,776.96,766,820.15,,5.56%,775.880005,791.469971,817.890015,804.570007,858.450012
141,141,11.3,AMZN,long,0.026446535,0.024314854,0.028724833,0.114512986,750,770,742,752.26,756,770.91,,2.48%,750.570007,770.419983,768.820007,772.130005,836.52002
142,142,11.3,FB,long,-0.003968933,0.015115699,-0.012666779,0.11028541,116,123,110,118.37,116,120.18,,1.53%,118.419998,117.949997,120.209999,116.919998,131.479996
143,143,11.3,GS,long,0.074194015,0.094121942,0.09740527,0.081900714,208,219,198,219.58,221,240.5,,9.53%,219.289993,235.559998,239.929993,240.649994,237.25
144,144,11.3,TJX,long,-0.00191465,-0.013275371,-0.038677535,-0.037145723,75,80,72,78.59,74,77.87,,-0.92%,78.069608,77.920132,77.033205,75.050068,75.169656
145,145,11.3,VMC,long,0.033983255,-0.00740152,0.009550306,0.076641439,120,128,113,125.73,115,125.09,,-0.51%,125.650002,129.919998,124.720001,126.849998,135.279999
146,146,11.3,F,long,0.091973286,0.047658817,0.024247537,0.086632475,10.9,12.6,10.3,11.98,11.8,12.67,,5.76%,11.770309,12.852863,12.331268,12.05571,12.79
